"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Alaska","AKIACHAK","MAIN OFFICE","20068004","500 PHILLIPS ST","AKIACHAK","AK","99551-9800","2-Feb","USPS (Not Roof)","2/1/2002","1/31/2022","A","A","Reimbursable","N","2","10","KALIKIWIK INC","PO BOX 51010","","","AKIACHAK","AK","995510010","2,080","23,000","$102,750.00 ","$49.40 ","$102,750.00 ","$49.40 "
"5","Alaska","AKIAK","MAIN OFFICE SITE","20078003","250 OFF DOOPS ST","AKIAK","AK","99552-9800","","USPS","4/19/2001","4/18/2021","Q","Z","Reimbursable","","2","10","KOKARMUIT CORPORATION","PO BOX 147","","","AKIAK","AK","995520147","0","22,500","$3,000.00 ","$0.13 ","$4,044.00 ","$0.18 "
"6","Alaska","AKUTAN","MAIN OFFICE","20156004","101 SALMON BERRY RD","AKUTAN","AK","99553-9800","Apr-98","Landlord","1/1/2012","12/31/2016","A","A","None Specified","","1","5","AKUTAN CORPORATION","PO BOX 8","","","AKUTAN","AK","995530008","1,080","1,080","$34,000.00 ","$31.48 ","$34,000.00 ","$31.48 "
"7","Alaska","ALAKANUK","MAIN OFFICE","20195001","500 ANDERSON ST","ALAKANUK","AK","99554-9800","1-Nov","USPS (Not Roof)","11/26/2001","11/25/2021","A","A","Reimbursable","","2","10","ANDREAFSKI LTD","P O BOX 87","","","ST MARYS","AK","996580087","2,708","15,000","$127,785.00 ","$47.19 ","$127,785.00 ","$47.19 "
"8","Alaska","ALEKNAGIK","MAIN OFFICE","20234002","123 MAIN ST","ALEKNAGIK","AK","99555-9800","Nov-83","Landlord","11/1/2013","10/31/2018","P","P","None Specified","","1","5","CITY OF ALEKNAGIK","PO BOX 33","","","ALEKNAGIK","AK","995550033","800","800","$15,600.00 ","$19.50 ","$20,400.00 ","$25.50 "
"9","Alaska","ALLAKAKET","MAIN OFFICE","20273003","21 ALLAKAKET RD","ALLAKAKET","AK","99720-9800","Jan-95","Landlord","4/5/2015","4/4/2020","A","A","None Specified","N","","","CITY OF ALLAKAKET","PO BOX 30","","","ALLAKAKET","AK","997200030","600","600","$9,480.00 ","$15.80 ","$0.00 ","$0.00 "
"10","Alaska","AMBLER","MAIN OFFICE SITE","20288002","AMBLER AVE","AMBLER","AK","99786-9998","","USPS","10/1/2014","9/30/2019","X","Z","None Specified","","1","5","CITY OF AMBLER","P O BOX 09","","","AMBLER","AK","997860009","0","2,000","$2,600.00 ","$1.30 ","$2,600.00 ","$1.30 "
