"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Bay Valley","ALAMEDA","MAIN OFFICE","50072005","2201 SHORELINE DR","ALAMEDA","CA","94501-9998","Oct-72","USPS (Not Roof)","8/1/2012","7/31/2017","B","B","None Specified","Y","1","5","OAKLAND REALTY LOAN SER","C/O ALLSAFE MANAGEMENT LLC","524 LEWELLING BLVD","","SAN LEANDRO","CA","945791803","54,040","127,420","$148,519.00 ","$2.75 ","$148,519.00 ","$2.75 "
"5","Bay Valley","ALAMEDA","PARK CENTRAL STATION","50072002","1333 PARK AVE","ALAMEDA","CA","94501-9983","Jun-74","Landlord","6/1/2014","5/31/2019","P","P","None Specified","","","","COCORES DEVELOPMENT CO","C/O GALLAGHER & LINDSEY","1406 WEBSTER ST","","ALAMEDA","CA","945013825","1,344","3,114","$42,405.00 ","$31.55 ","$0.00 ","$0.00 "
"6","Bay Valley","ALAMEDA","WEBSTER STREET STATION","50072001","1415 WEBSTER ST","ALAMEDA","CA","94501-3824","Dec-49","USPS (Not Roof)","11/15/2013","11/14/2018","A","A","None Specified","","","","NEW GLOBAL HOLDING LLC","1011 BEECHER ST","","","SAN LEANDRO","CA","94577-124","2,771","3,236","$47,670.00 ","$17.20 ","$0.00 ","$0.00 "
"7","Bay Valley","ALAMO","MAIN OFFICE","50078003","160 ALAMO PLZ","ALAMO","CA","94507-9998","May-97","Landlord","4/7/2012","4/6/2017","A","A","Percentage","N","","","DONAHUE SCHRIBER","DBA DS ALAMO PLAZA LP","200 E BAKER STREET STE 100","","COSTA MESA","CA","926264551","8,535","9,278","$295,044.00 ","$34.57 ","$0.00 ","$0.00 "
"8","Bay Valley","ALVISO","MAIN OFFICE SITE","50204002","1525 GOLD ST","ALVISO","CA","95002-9800","","USPS","2/1/2014","1/31/2019","Y","B","None Specified","N","3","10","CITY OF SAN JOSE","R/E SVCS & ASSET MGMT DIV","200 E SANTA CLARA ST 4TH FLR","","SAN JOSE","CA","951131903","0","32,075","$7,162.00 ","$0.22 ","$8,237.00 ","$0.26 "
"9","Bay Valley","ANGWIN","MAIN OFFICE","50240001","5 ANGWIN PLZ","ANGWIN","CA","94508-9997","Jun-69","Landlord","7/1/2014","6/30/2019","P","P","None Specified","","","","PACIFIC UNION COLLEGE","ATTY IN FACT FOR LSE00110","ONE ANGWIN AVENUE","","ANGWIN","CA","945089797","3,145","10,000","$49,700.00 ","$15.80 ","$0.00 ","$0.00 "
"10","Bay Valley","ANTIOCH","RIVERTOWN STATION","50258002","420 W 4TH ST","ANTIOCH","CA","94509-1245","Oct-90","Shared","10/1/2015","9/30/2020","P","P","None Specified","","","","STAMM THEATRES INC","PO BOX 633","","","ANTIOCH","CA","945090063","4,655","4,759","$67,300.00 ","$14.46 ","$0.00 ","$0.00 "
