"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Connecticut Valley","AMSTON","MAIN OFFICE","80068001","540 CHURCH ST","AMSTON","CT","06231-9998","Jun-60","Landlord","6/1/2015","5/31/2020","A","A","Reimbursable","","","","BRG INTERESTS","BRUCE & RONALD GOLDSTEIN","PO BOX 175","","COLCHESTER","CT","64150175","1,421","7,746","$13,500.00 ","$9.50 ","$0.00 ","$0.00 "
"5","Connecticut Valley","ANDOVER","MAIN OFFICE","80102001","335 ROUTE 6","ANDOVER","CT","06232-9998","Jul-63","USPS","7/1/2014","6/30/2019","A","A","Reimbursable","","1","5","RICHARD P HAYES","RICHARD P HAYES REVOCABLE TRUST","1471 PLEASANT VALLEY RD","","MANCHESTER","CT","60401664","1,443","7,292","$23,587.00 ","$16.35 ","$25,356.00 ","$17.57 "
"6","Connecticut Valley","ANSONIA","EMPLOYEE PARKING","80136001","West Main Street","ANSONIA","CT","06401-9998","","Landlord","2/1/1996","","X","Z","None Specified","N","","","CITY OF ANSONIA","ANSONIA PARKING AUTH","253 MAIN ST","","ANSONIA","CT","64011855","0","6,600","$3,594.00 ","$0.54 ","$0.00 ","$0.00 "
"7","Connecticut Valley","ASHFORD","MAIN OFFICE","80150003","141 NOTT HWY STE 5","ASHFORD","CT","06278-9998","Mar-92","Landlord","3/1/2012","2/28/2017","A","A","None Specified","N","","","THOMAS V SAMPERI","GERALD J CACCIOLA","161 PUMPKIN HILL RD","","ASHFORD","CT","62781708","1,595","1,835","$19,140.00 ","$12.00 ","$20,735.00 ","$13.00 "
"8","Connecticut Valley","AVON","MAIN OFFICE","80170001","15 ENFORD ST","AVON","CT","06001-9998","Feb-68","Landlord","5/1/2012","4/30/2017","A","A","Reimbursable","","1","5","DERRY CO LLC","PO BOX 471","","","AVON","CT","60010471","7,076","55,513","$112,968.00 ","$15.96 ","$126,000.00 ","$17.81 "
"9","Connecticut Valley","BALLOUVILLE","GROUND LEASE FOR CBU","80204003","724 CHESTNUT HILL RD","BALLOUVILLE","CT","06233-9998","14-Jun","Landlord","6/16/2014","6/15/2019","X","Z","None Specified","","","","KEITH COOLIDGE","505 NORWICH ROAD","","","PLAINFIELD","CT","63741760","0","65,340","$2,600.00 ","$0.04 ","$0.00 ","$0.00 "
"10","Connecticut Valley","BALLOUVILLE","MAIN OFFICE","80204001","252 BALLOUVILLE RD","BALLOUVILLE","CT","06233-9997","Jul-61","Landlord","9/1/2005","","A","A","None Specified","","","","ARTHUR C BERUBE","PO BOX 228","","","BALLOUVILLE","CT","62330228","240","240","$4,800.00 ","$20.00 ","$0.00 ","$0.00 "
