"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","Connecticut Valley","080136-G02","80136","ANSONIA","MAIN OFFICE","237 MAIN ST","NEW HAVEN","ANSONIA","CT","06401-9998","Active","Owned","1353140","V20014","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","1/1/1917","7,790","19,024"," 2/5"
"5","Connecticut Valley","080544-G02","80544","BRANFORD","MAIN OFFICE","35 PARK PL","NEW HAVEN","BRANFORD","CT","06405-9998","Active","Owned","1355696","V20063","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","10/1/1983","7,567","56,597"," 1/8"
"6","Connecticut Valley","080598-G01","80578","BRIDGEPORT","MPO","120 MIDDLE ST","FAIRFIELD","BRIDGEPORT","CT","06602-9998","Active","Owned","1434081","V20069","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","11/1/1937","83,183","112,435"," 3/4"
"7","Connecticut Valley","080578-G13","80585","BRIDGEPORT","STRATFORD BRANCH","3100 MAIN ST","FAIRFIELD","STRATFORD","CT","06614-9998","Active","Owned","1434154","V20685","Post Office","Branch","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","4/1/1992","25,463","67,300"," 3/8"
"8","Connecticut Valley","080646-G01","80646","BRISTOL","MAIN OFFICE","151 N MAIN ST","HARTFORD","BRISTOL","CT","06010-9998","Active","Owned","1355897","V20074","Post Office","Main Post Office","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","12/1/1969","39,325","90,808"," 3/7"
"9","Connecticut Valley","080714-G01","80714","BROOKFIELD","MAIN OFFICE","115 POCONO RD","FAIRFIELD","BROOKFIELD","CT","06804-9998","Active","Owned","1356006","V20081","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","2/1/1988","10,144","136,127"," 0/1"
"10","Connecticut Valley","081258-G01","81258","CLINTON","MAIN OFFICE","2 W MAIN ST","MIDDLESEX","CLINTON","CT","06413-9998","Active","Owned","1358421","V20124","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","4/1/1937","9,434","21,401"," 4/9"
"11","Connecticut Valley","081666-G03","81666","DANBURY","BLDG.2-TEMP.MAIL PROC","25 BACKUS AVE","FAIRFIELD","DANBURY","CT","06810-9992","Active","Owned","1444884","9374","Storage Facility","Warehouse","USPS Building, Const. by USPS","Land Data on separate record","USPS","Yes","9/1/1982","8,327","0",""
"12","Connecticut Valley","081666-G02","81666","DANBURY","MAIN POST OFFICE","23 BACKUS AVE","FAIRFIELD","DANBURY","CT","06810-9998","Active","Owned","1360250","V20151","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","2/1/1985","30,703","435,600"," 0/1"
