"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","South Jersey","BETHANY BEACH","MAIN OFFICE","90330001","14 PENNSYLVANIA AVE","BETHANY BEACH","DE","19930-9998","Nov-64","USPS (Not Roof)","8/1/2013","7/31/2018","P","P","None Specified","","1","5","NICHOLAS CAGGIANO &","JOAN CAGGIANO","8 NORTH FIRST STREET","","REHOBOTH BEACH","DE","199712116","2,133","4,163","$35,000.00 ","$16.41 ","$44,513.28 ","$20.87 "
"5","South Jersey","BETHEL","MAIN OFFICE","90440001","7748 MAIN ST","BETHEL","DE","19931-9998","Jul-67","Landlord","7/1/2011","6/30/2016","P","P","None Specified","","1","5","ELMO STOAKLEY JR","BETTIE STOAKLEY","PO BOX 188","","BETHEL","DE","199310188","525","525","$3,600.00 ","$6.86 ","$3,600.00 ","$6.86 "
"6","South Jersey","BRIDGEVILLE","MAIN OFFICE","90660001","300 WALNUT ST","BRIDGEVILLE","DE","19933-9998","Dec-62","USPS","12/12/2012","7/31/2017","P","P","Reimbursable","","","","GENERATIONAL INVESTMENTS LLC","123 GROVE AVE STE 222","","","CEDARHURST","NY","115162302","3,076","19,200","$38,450.00 ","$12.50 ","$0.00 ","$0.00 "
"7","South Jersey","CAMDEN WYOMING","MAIN OFFICE","90820001","2 OLD NORTH RD","CAMDEN WYOMING","DE","19934-9998","May-62","USPS","5/1/2015","4/30/2020","P","P","Reimbursable","","1","5","HEMPAR ASSOCIATES LLC","ATTN SATISH N BHAYANI","PO BOX 324","","FRANKLIN","NJ","74160324","3,060","8,670","$48,000.00 ","$15.69 ","$52,800.00 ","$17.25 "
"8","South Jersey","CHESWOLD","MAIN OFFICE","90990001","262 E MAIN ST","CHESWOLD","DE","19936-9998","Jun-48","Landlord","6/1/2015","5/31/2020","P","P","None Specified","","1","5","ROBERT R THOMPSON","CAROLE L THOMPSON","PO BOX 366","","CHESWOLD","DE","199360366","669","3,669","$7,596.00 ","$11.35 ","$8,352.00 ","$12.48 "
"9","South Jersey","CLAYMONT","MAIN OFFICE","91300001","3430 PHILADELPHIA PIKE","CLAYMONT","DE","19703-9998","Mar-61","Landlord","9/1/2015","8/31/2020","P","P","Reimbursable","","1","5","CHRISTOPHER D CATANIA","280 VALLEY RD","","","MEDIA","PA","190635612","6,112","17,488","$46,776.00 ","$7.65 ","$51,648.00 ","$8.45 "
"10","South Jersey","CLAYTON","MAIN OFFICE","91320001","12 RAILROAD AVE","CLAYTON","DE","19938-9998","Oct-59","USPS","5/1/2015","4/30/2020","P","P","Reimbursable","","","","PAUL BUCCO","107 PINE TREE ROAD","","","RADNOR","PA","190873734","2,019","9,867","$32,304.00 ","$16.00 ","$0.00 ","$0.00 "
