"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Gulf Atlantic","ALACHUA","MAIN POST OFFICE","110015003","15200 NW 142ND TER","ALACHUA","FL","32615-9998","1-Aug","USPS (Not Roof)","8/19/2001","8/18/2021","A","A","Reimbursable","Y","3","15","ALACHUA PO LLC","ATTN LAUREL SCHWARTZ MEMBER","36 BEACHSIDE AVE","","WESTPORT","CT","68806207","8,256","98,010","$129,003.20 ","$15.63 ","$130,523.00 ","$15.81 "
"5","Gulf Atlantic","ALFORD","MAIN OFFICE","110030002","1772 GEORGIA ST","ALFORD","FL","32420-9998","May-81","USPS","5/1/2016","4/30/2021","A","A","None Specified","","","","JOE JOHNSON","534 RALEY RD","","","DEFUNIAK SPRINGS","FL","324334681","1,100","8,400","$7,000.00 ","$6.36 ","$0.00 ","$0.00 "
"6","Gulf Atlantic","ALTHA","MAIN OFFICE","110075002","25934 N MAIN ST","ALTHA","FL","32421-9998","Dec-90","USPS (Not Roof)","12/1/2015","11/30/2020","A","A","None Specified","N","","","CARL DUPUIS FAMILY TRUST","RICHARD DUPUIS TRUSTEE","131 BAYVIEW ISLE DR","","ISLAMORADA","FL","330363308","2,343","44,000","$15,100.00 ","$6.44 ","$0.00 ","$0.00 "
"7","Gulf Atlantic","ANTHONY","MAIN OFFICE","110195002","9081 NE JACKSONVILLE RD","ANTHONY","FL","32617-3519","Apr-88","USPS (Not Roof)","4/1/2013","3/31/2018","A","A","None Specified","Y","","","EMESS HOLDING COMPANY","HEATHER SACKS","473 NIAGARA ST","","BUFFALO","NY","142011740","3,360","62,675","$39,474.75 ","$11.75 ","$42,000.00 ","$12.50 "
"8","Gulf Atlantic","ARCHER","MAIN OFFICE","110255002","13553 SW STATE ROAD 45","ARCHER","FL","32618-9998","Sep-98","Landlord","9/1/1998","8/31/2018","P","P","Reimbursable","Y","4","20","RUTHERFORD RENTALS INC","P O BOX 191","","","MADISON","FL","323410191","5,004","81,974","$63,294.00 ","$12.65 ","$63,000.00 ","$12.59 "
"9","Gulf Atlantic","ARGYLE","MO MODULAR (LAND)","110270002","4757 U S HIGHWAY 90 E","ARGYLE","FL","32422-9998","","USPS","2/1/2012","1/31/2017","Q","Z","None Specified","","","","SABRINA E MEHLHORN","PO BOX 93","","","ARGYLE","FL","324220093","0","14,000","$3,500.00 ","$0.25 ","$3,800.00 ","$0.27 "
"10","Gulf Atlantic","BAGDAD","MAIN OFFICE","110450002","4629 FORSYTH ST","BAGDAD","FL","32530-9998","Jul-86","USPS (Not Roof)","7/12/2011","7/11/2016","A","A","None Specified","Y","2","10","LARRY & JEAN LYNCH","13392 158TH STREET NORTH","","","JUPITER","FL","334788513","1,064","26,247","$16,000.00 ","$15.04 ","$16,000.00 ","$15.04 "
