"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Atlanta","ACWORTH","BROOKSTONE FINANCE UNIT","120044005","5330 BROOKSTONE DR NW STE 250","ACWORTH","GA","30101-7183","4-Dec","USPS (Not Roof)","12/18/2014","12/17/2019","P","A","Percentage","N","1","5","BROOKSTONE INVESTMENTS, LTD","PO BOX 191647","","","ATLANTA","GA","311191647","2,800","2,800","$56,000.00 ","$20.00 ","$68,014.00 ","$24.29 "
"5","Atlanta","ACWORTH","CARRIER ANNEX","120044002","4200 MCEVER INDUSTRIAL DR NW","ACWORTH","GA","30101-9996","Sep-00","USPS (Not Roof)","9/1/2000","8/31/2020","A","A","Reimbursable","N","2","10","MC NEEL LAKESIDE NORTH","PROPERTIES LTD","PO BOX 3236","","MARIETTA","GA","300613236","43,947","191,664","$224,325.54 ","$5.10 ","$210,384.00 ","$4.79 "
"6","Atlanta","ACWORTH","OAK GROVE FIN UNIT","120044004","5944 HIGHWAY 92 STE 100","ACWORTH","GA","30102-9998","Sep-97","Landlord","9/1/2015","8/31/2020","P","P","None Specified","","","","92 LEGACY PARTNERS LLC","3251 STANDING PEACHTREE TRL NW","","","KENNESAW","GA","301525807","4,613","28,213","$51,500.00 ","$11.16 ","$0.00 ","$0.00 "
"7","Atlanta","ALPHARETTA","ALPHARETTA CARRIER ANNEX","120187002","1295 BLUEGRASS LAKES PKWY STE A","ALPHARETTA","GA","30004-9998","7-Sep","USPS","9/1/2012","8/31/2017","P","P","Percentage","","2","10","WINDWARD INVESTORS LLC","3590 TROTTER DR","","","ALPHARETTA","GA","300043366","19,962","75,000","$161,692.00 ","$8.10 ","$168,679.00 ","$8.45 "
"8","Atlanta","ALTO","MAIN OFFICE","120209002","3753 GAINESVILLE HWY","ALTO","GA","30510-9998","Apr-83","USPS","5/1/2013","4/30/2018","P","P","Reimbursable","","1","5","ALTO-JORDAN ASSOC","C/O STEVE GALAN CPA","1400 OLD COUNTRY RD STE 301","","WESTBURY","NY","115905119","2,784","22,988","$30,900.00 ","$11.10 ","$33,090.00 ","$11.89 "
"9","Atlanta","ARAGON","MAIN OFFICE","120319001","2646 ROME HWY","ARAGON","GA","30104-9998","Sep-69","Landlord","9/1/2014","8/31/2019","B","B","None Specified","","","","RUBY HELEN MOATES","4040 ROME HWY","","","ARAGON","GA","301041912","1,152","13,595","$6,316.00 ","$5.48 ","$0.00 ","$0.00 "
"10","Atlanta","ARMUCHEE","MAIN OFFICE","120352002","5345 MARTHA BERRY HWY NE","ARMUCHEE","GA","30105-9998","Aug-86","USPS (Not Roof)","8/1/2011","7/31/2016","A","A","None Specified","N","","","FRONTIER DEVELOPEMENT CO","BARJAD LAND CO","407 BILLY PYLE ROAD","","ROME","GA","301653407","2,343","22,763","$18,000.00 ","$7.68 ","$20,400.00 ","$8.71 "
