"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Honolulu","ANAHOLA","MAIN OFFICE","140200001","4-4350 KUHIO HWY","ANAHOLA","HI","96703-9997","Dec-85","Landlord","10/1/2013","9/30/2018","A","A","","","2","10","FTLS HAMAMURA LIMITED","PARTNERSHIP","C/O LILY S YAMAMOTO","PO BOX 107","ANAHOLA","HI","967030107","828","4,465","$56,517.00 ","$68.26 ","$59,342.00 ","$71.67 "
"5","Honolulu","ELEELE","MAIN OFFICE","140400001","4485 WAIALO RD","ELEELE","HI","96705-9997","Mar-55","USPS","3/1/2015","2/29/2020","A","A","Percentage","","1","5","ELEELE ASSOCIATES INC","C/O COLDWELL BANKER COMMERCIAL","737 BISHOP ST STE 1800","","HONOLULU","HI","968134004","1,500","1,500","$41,085.00 ","$27.39 ","$44,229.00 ","$29.49 "
"6","Honolulu","EWA BEACH","EWA STATION","140500001","91-1202 RENTON RD","EWA BEACH","HI","96706-1999","Apr-58","Landlord","9/1/1976","","A","A","None Specified","N","","","CITY & COUNTY OF HONOLULU","PROPERTY MGMT BR","DEPT OF HOUSING & COM DEV","530 SO KING ST, RM 208","HONOLULU","HI","968133014","1,580","7,000","$4,404.00 ","$2.79 ","$0.00 ","$0.00 "
"7","Honolulu","HAIKU","MAIN OFFICE","140600002","770 HAIKU RD","HAIKU","HI","96708-9998","Jun-73","USPS (Not Roof)","6/1/2013","5/31/2018","A","A","None Specified","N","","","GERALD S PERREIRA","ADA M PERREIRA","PO BOX 132","","KULA MAUI","HI","967900132","2,880","14,462","$58,644.00 ","$20.36 ","$0.00 ","$0.00 "
"8","Honolulu","HAKALAU","MAIN OFFICE","140800001","29-2270 OLD MAMALAHOA HWY","HAKALAU","HI","96710-9997","Dec-61","Landlord","12/4/2011","12/3/2016","A","A","None Specified","","1","5","FRANTISEK HOFEREK","PO BOX 10741","","","HILO","HI","967215741","620","2,302","$10,915.00 ","$17.60 ","$12,127.00 ","$19.56 "
"9","Honolulu","HALEIWA","MAIN OFFICE","141000002","66-437 KAMEHAMEHA HWY STE 102","HALEIWA","HI","96712-9998","May-82","Landlord","5/1/2012","4/30/2017","A","A","Percentage","","1","5","NORTHSHORE INVESTMENT COMPANY","307 LEWERS ST 6TH FLR","","","HONOLULU","HI","968152357","4,160","4,320","$104,665.00 ","$25.16 ","$0.00 ","$0.00 "
"10","Honolulu","HANA","MAIN OFFICE","141200001","1 MILL ST","HANA","HI","96713-9997","Sep-87","Landlord","9/1/2013","8/31/2018","A","A","None Specified","","1","5","AMSTAR 39 LLC","HANA TOWN CENTER LLC","1050 17TH STREET STE 2300","","DENVER","CO","802652080","1,128","3,145","$43,900.00 ","$38.92 ","$50,485.00 ","$44.76 "
