"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Central Plains","ABBYVILLE","MAIN OFFICE","190022001","108 N MAIN ST","ABBYVILLE","KS","67510-9998","Jul-53","Landlord","5/1/2016","4/30/2021","P","P","None Specified","","","","KEITH DELLENBACH","16110 W RED ROCK RD","","","ABBYVILLE","KS","675109552","1,008","3,510","$5,500.00 ","$5.46 ","$0.00 ","$0.00 "
"5","Central Plains","ADMIRE","MAIN OFFICE","190088001","107 W 5TH ST","ADMIRE","KS","66830-9998","Dec-64","Shared","2/1/2013","1/31/2018","P","P","","","","","VALLEY REALTY CO","PO BOX 997","","","CLARKSDALE","MS","386140997","736","772","$5,382.00 ","$7.31 ","$0.00 ","$0.00 "
"6","Central Plains","AGRA","MAIN OFFICE","190110002","317 MAIN ST","AGRA","KS","67621-9998","Sep-88","USPS","9/1/2013","8/31/2018","P","P","None Specified","","1","5","AGRA COMMUNITY IMPROVEMENT ASSOCIATION","PO BOX 126","","","AGRA","KS","676210126","1,416","3,605","$5,469.00 ","$3.86 ","$6,016.00 ","$4.25 "
"7","Central Plains","ALBERT","MAIN OFFICE","190143001","2002 MAIN ST","ALBERT","KS","67511-9998","Dec-55","Landlord","9/1/2013","8/31/2018","P","P","None Specified","","","","TERI L RICHARDSON","AND JACK S RICHARDSON","P O BOX 36","","ALBERT","KS","675110036","966","3,080","$4,950.00 ","$5.12 ","$0.00 ","$0.00 "
"8","Central Plains","ALDEN","MAIN OFFICE","190154001","204 PIONEER ST","ALDEN","KS","67512-9998","Sep-63","Landlord","9/1/2013","8/31/2018","P","P","None Specified","","","","MAGDOVITZ AGENCY INC","PO BOX 997","","","CLARKSDALE","MS","386140997","811","1,499","$6,180.00 ","$7.62 ","$0.00 ","$0.00 "
"9","Central Plains","ALEXANDER","MAIN OFFICE","190165001","103 MAIN ST","ALEXANDER","KS","67513-9998","Jan-45","Landlord","11/1/2011","10/31/2016","P","P","None Specified","","1","5","DENNIS CODDINGTON","MARY A CODDINGTON","1236 GARFIELD ST","","EMPORIA","KS","668015604","736","3,000","$4,020.00 ","$5.46 ","$4,200.00 ","$5.71 "
"10","Central Plains","ALLEN","MAIN OFFICE","190187001","402 MAIN ST","ALLEN","KS","66833-9998","Jun-51","Landlord","9/1/2015","8/31/2020","P","P","None Specified","","","","PHYLLIS A HESS","JAMES R HESS AND SHERRY K HESS","5219 SW 28TH ST","","TOPEKA","KS","666141709","462","1,535","$3,480.00 ","$7.53 ","$0.00 ","$0.00 "
