"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Louisiana","ABITA SPRINGS","GALINGHOUSE TWR ANT","512756210","21315 EMILE STRAIN ROAD","ABITA SPRINGS","LA","70420-3000","","USPS","10/1/2012","9/30/2017","X","E","","","5","5","PINNACLE TOWERS","VIA CROWN CASTLE","2000 CORPORATE DR","","CANONSBURG","PA","153178564","0","1","$7,330.44 ","$7,330.44 ","$8,497.99 ","$8,497.99 "
"5","Louisiana","ABITA SPRINGS","MAIN POST OFFICE","210039003","22444 HIGHWAY 435","ABITA SPRINGS","LA","70420-9998","Feb-01","Landlord","2/1/2016","1/31/2021","P","P","Reimbursable","Y","2","10","INVESTMENTS REALTY LLC","105 NORTH MAIN","PO BOX 68","","CLARKTON","MO","638370068","8,125","93,919","$93,700.00 ","$11.53 ","$98,385.00 ","$12.11 "
"6","Louisiana","ACME","MAIN OFFICE-TRAILER","210052002","56412 HIGHWAY 129","ACME","LA","71316-9998","Dec-85","Landlord","12/1/1985","","Y","A","None Specified","N","","","SANDRA HUGHES","GENERAL DELIVERY","","","ACME","LA","713169999","180","1,180","$900.00 ","$5.00 ","$0.00 ","$0.00 "
"7","Louisiana","ADDIS","MAIN OFFICE","210078002","4260 FORET ST","ADDIS","LA","70710-9998","Jun-81","USPS (Not Roof)","6/1/2006","5/31/2016","A","A","Reimbursable","N","1","10","NATIONWIDE POSTAL MANAGEMENT","J LEONARD SPODEK","123 GROVE AVE STE 222","","CEDARHURST","NY","115162302","1,856","24,692","$18,564.00 ","$10.00 ","$19,000.00 ","$10.24 "
"8","Louisiana","ALBANY","MAIN OFFICE","210117002","29683 S MONTPELIER RD","ALBANY","LA","70711-9998","Feb-85","USPS (Not Roof)","3/1/1997","2/28/2022","A","A","Reimbursable","Y","2","10","UNITED PO INVEST INC","123 GROVE AVE STE 222","","","CEDARHURST","NY","115162302","2,343","45,684","$17,572.50 ","$7.50 ","$18,744.00 ","$8.00 "
"9","Louisiana","ALEXANDRIA","WESTSIDE STATION","210143015","1411 METRO DR","ALEXANDRIA","LA","71301-9996","Feb-00","Landlord","2/16/2000","2/15/2020","P","P","Reimbursable","Y","2","10","SFI LTD PARTNERSHIP 17","10040 REGENCY CIR STE 200","","","OMAHA","NE","681145717","6,608","61,498","$105,504.00 ","$15.97 ","$124,404.00 ","$18.83 "
"10","Louisiana","AMA","MAIN OFFICE","210182004","10833 RIVER RD","AMA","LA","70031-9998","Jun-00","Landlord","6/2/2015","6/1/2020","A","A","Reimbursable","Y","2","10","ESTATE OF DAVID J VIAL","PO BOX 47","","","LULING","LA","700700047","2,493","37,912","$39,888.00 ","$16.00 ","$71,000.00 ","$28.48 "
