"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Connecticut Valley","ADAMS","MAIN OFFICE PARKING","240068001","VIDEO STUDIO TWELVE1 PLEASANT ST","ADAMS","MA","01220-9998","","Landlord","12/1/1999","","X","Z","None Specified","","","","SOUTH ADAMS SVGS BANK","PO BOX 306","ATTN: ACCTING DEPT","","ADAMS","MA","12200306","0","3,600","$1,800.00 ","$0.50 ","$0.00 ","$0.00 "
"5","Connecticut Valley","AMHERST","NORTH AMHERST STATION","240136001","15 MONTAGUE RD","NORTH AMHERST","MA","01059-9998","Feb-55","Landlord","8/1/2012","7/31/2017","A","A","None Specified","","1","5","PAUL JONES","C/O KAMINS REAL ESTATE","400 AMITY ST","","AMHERST","MA","10022241","994","994","$17,500.00 ","$17.61 ","$18,375.00 ","$18.49 "
"6","Connecticut Valley","ASHFIELD","MAIN OFFICE","240238002","258 MAIN ST","ASHFIELD","MA","01330-9998","Sep-84","USPS","9/1/2014","8/31/2019","A","A","Reimbursable","","1","5","SUZANNE M CORBETT ET AL PTRP","AND KAREN HANCOCK","PO BOX 22","","ASHFIELD","MA","13300022","1,984","16,396","$35,712.00 ","$18.00 ","$36,704.00 ","$18.50 "
"7","Connecticut Valley","ASHLEY FALLS","MAIN OFFICE","240272001","1180 ASHLEY FALLS RD","ASHLEY FALLS","MA","01222-9998","Feb-55","Landlord","1/1/2014","12/31/2018","A","A","None Specified","","","","JOAN S BROOKS","DBA MAPLEWOOD MEWS","PO BOX 235","","ASHLEY FALLS","MA","12220235","968","1,318","$14,400.00 ","$14.88 ","$0.00 ","$0.00 "
"8","Connecticut Valley","ASSONET","MAIN OFFICE","240306001","57 S MAIN ST","ASSONET","MA","02702-1711","Dec-62","Landlord","12/1/2012","11/30/2017","A","A","Reimbursable","","2","10","E LORRAINE PAGANI","26 FAUNCE MOUNTAIN RD","","","SANDWICH","MA","25632106","2,571","9,197","$29,000.00 ","$11.28 ","$30,450.00 ","$11.84 "
"9","Connecticut Valley","ATTLEBORO","SOUTH ATTLEBORO STA","240340004","775 NEWPORT AVE","ATTLEBORO","MA","02703-5932","Jan-96","Landlord","1/1/2016","12/31/2020","P","P","Reimbursable","","1","5","ORION REALTY CO INC","C/O JENNIFER JANICKI","102C POND ST","","SEEKONK","MA","27713915","2,603","30,454","$72,000.00 ","$27.66 ","$75,600.00 ","$29.04 "
"10","Connecticut Valley","BARRE","MAIN OFFICE","240476002","500 SOUTH ST","BARRE","MA","01005-9998","Apr-02","Landlord","4/20/2002","4/19/2022","A","A","Reimbursable","Y","4","20","WILLIAMSBURG CO INC","C/O WILLIAMSBURG CO","20 EAST ST","","HANOVER","MA","23391638","4,061","87,120","$78,000.00 ","$19.21 ","$82,000.00 ","$20.19 "
