"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Northern New England","ACWORTH","MAIN OFFICE","320030003","123 HILL RD","ACWORTH","NH","03601-9998","Jun-70","USPS (Not Roof)","2/1/2013","1/31/2018","B","B","None Specified","N","","","ACWORTH VOLUNTEER FIRE","& RESCUE CO INC","PO BOX 86","","ACWORTH","NH","36010086","675","6,973","$14,127.75 ","$20.93 ","$0.00 ","$0.00 "
"5","Northern New England","ALSTEAD ","MAIN OFFICE","320090004","42 HIGH ST","ALSTEAD","NH","03602-9998","Dec-79","USPS (Not Roof)","12/1/2009","11/30/2020","B","B","Reimbursable","","","","PORTJACK HOLDINGS LLC","PO BOX 8153","","","PORTSMOUTH","NH","38028153","1,700","16,385","$25,500.00 ","$15.00 ","$0.00 ","$0.00 "
"6","Northern New England","ALTON ","MAIN OFFICE","320120002","9 SCHOOL ST","ALTON","NH","03809-9998","Feb-96","Landlord","2/1/2016","1/31/2021","P","P","Reimbursable","N","2","10","W&W INGLEWOOD TRUST","PO BOX 314","","","ALTON BAY","NH","38100314","4,130","50,229","$53,690.00 ","$13.00 ","$53,690.00 ","$13.00 "
"7","Northern New England","ALTON BAY ","MAIN OFFICE","320150001","5 MOUNT MAJOR HWY UNIT 1","ALTON BAY","NH","03810-9998","Jun-74","Landlord","6/1/2015","5/31/2020","P","P","None Specified","","1","5","JAYS BAYSIDE LLC","74 CURTISVILLE ROAD","","","CONCORD","NH","33015904","839","839","$12,850.00 ","$15.32 ","$14,135.00 ","$16.85 "
"8","Northern New England","AMHERST ","MAIN OFFICE","320180003","199 STATE ROUTE 101 UNIT 4D","AMHERST","NH","03031-9998","Oct-96","USPS (Not Roof)","10/19/2011","10/18/2016","P","P","Percentage","","","","CAMERON REAL ESTATE INC","400 AMHERST STREET","STE 405","","NASHUA","NH","30634225","6,626","6,626","$71,680.00 ","$10.82 ","$67,917.00 ","$10.25 "
"9","Northern New England","ANDOVER","MAIN OFFICE","320210003","164 MAIN ST REAR","ANDOVER","NH","03216-9998","Dec-02","USPS (Not Roof)","12/1/2002","11/30/2022","A","A","Reimbursable","","3","15","ANDOVER MAIN ST LLC","PO BOX 84","","","CHESTER","NH","30360084","3,630","21,410","$76,037.00 ","$20.95 ","$60,000.00 ","$16.53 "
"10","Northern New England","ANTRIM","MAIN OFFICE","320240002","1 POST RD","ANTRIM","NH","03440-9998","Feb-90","USPS (Not Roof)","2/1/2015","1/31/2020","B","B","Percentage","Y","1","5","ARIZCUREN FAMILY 1991 TRUST","JACK ARIZCUREN TRUSTEE","250 CHERRY LN STE 210","","MANTECA","CA","953374398","3,140","14,040","$54,165.00 ","$17.25 ","$59,581.50 ","$18.98 "
