"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Northern New Jersey","ALLAMUCHY","MAIN OFFICE","330060002","1 COUNTY ROAD 517","ALLAMUCHY","NJ","07820-9800","Nov-76","Landlord","11/1/2011","10/31/2016","A","A","None Specified","","","","ALLAMUCHY MALL","PARTNERS LLC","RT 517 POB 241","","ALLAMUCHY","NJ","78200241","849","3,367","$21,755.00 ","$25.62 ","$24,000.00 ","$28.27 "
"5","Northern New Jersey","ALLENDALE","MAIN OFFICE","330075001","2 MYRTLE AVE","ALLENDALE","NJ","07401-9992","Jun-63","USPS (Not Roof)","6/19/1998","6/30/2018","A","A","Reimbursable","N","","","ALLENDALE LLC","PO BOX 600","","","WARWICK","NY","109900600","3,816","11,816","$77,151.00 ","$20.22 ","$0.00 ","$0.00 "
"6","Northern New Jersey","ALPINE","MAIN OFFICE","330180003","100 CHURCH ST","ALPINE","NJ","07620-1000","Feb-88","USPS","2/1/2013","1/31/2018","A","A","","","","","BOROUGH OF ALPINE","MUNICIPAL BUILDING","PO BOX 1095","","ALPINE","NJ","76201095","2,690","18,062","$85,000.00 ","$31.60 ","$0.00 ","$0.00 "
"7","Northern New Jersey","ANDOVER","MAIN OFFICE","330195002","5 LENAPE RD","ANDOVER","NJ","07821-9998","Apr-75","Landlord","4/1/2015","3/31/2020","A","A","Percentage","","2","10","SGP CENTURY, LLC","C/O PIO COSTA ENTERPRISES","1275 BLOOMFIELD AVE","","FAIRFIELD","NJ","70042708","3,275","18,815","$70,412.00 ","$21.50 ","$73,933.00 ","$22.57 "
"8","Northern New Jersey","ANNANDALE","MAIN OFFICE","330210003","10 LOWER WEST ST","ANNANDALE","NJ","08801-9998","Nov-87","USPS (Not Roof)","11/1/2012","10/31/2017","A","A","None Specified","N","","","SALVATORE DESAPIO & SONS","151 FAIRVIEW RD","FAIRVIEW RD","","FRENCHTOWN","NJ","88253013","2,646","25,000","$45,000.00 ","$17.01 ","$0.00 ","$0.00 "
"9","Northern New Jersey","AUGUSTA","MAIN OFFICE","330330005","33 US HIGHWAY 206 STE 101","AUGUSTA","NJ","07822-9998","Jul-94","Landlord","7/1/2011","6/30/2016","A","A","Percentage","","","","CARDINAL COMMONS LLC","7 PRICE RD","PO BOX 452","","AUGUSTA","NJ","78222013","1,800","6,800","$28,175.00 ","$15.65 ","$33,300.00 ","$18.50 "
"10","Northern New Jersey","BAPTISTOWN","MAIN OFFICE","330390001","1031 COUNTY ROAD 519","BAPTISTOWN","NJ","08803-9800","Aug-94","Landlord","8/1/2013","7/31/2018","A","A","None Specified","","","","PASQUALE CASUSCELLI","309 HIGHWAY 31","","","FLEMINGTON","NJ","88225742","766","446","$23,650.00 ","$30.87 ","$0.00 ","$0.00 "
