"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","Colorado/Wyoming","570456-G01","570456","ARVADA","MAIN OFFICE (MODULAR)","25 ATOKA ST","SHERIDAN","ARVADA","WY","82831-9901","Active","Owned","1353433","W1B304","Post Office","Part Time Post Office (PTPO)","USPS Building, Not Prev. Leased","Land Data on separate record","USPS","No","8/1/1997","550","0",""
"5","Colorado/Wyoming","570608-G01","570608","BAGGS","MAIN OFFICE (MODULAR)","55 N PENLAND ST","CARBON","BAGGS","WY","82321-9900","Active","Owned","1353857","W1B308","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","Land Data on separate record","USPS","No","1/1/1976","1,056","0",""
"6","Colorado/Wyoming","570722-G01","570722","BASIN","MAIN OFFICE","402 W C ST","BIG HORN","BASIN","WY","82410-9901","Active","Owned","1354150","W1B312","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","No","7/1/1919","3,236","21,000"," 1/7"
"7","Colorado/Wyoming","571102-G02","571102","BOULDER","MAIN OFFICE (MODULAR)","7 STATE HIGHWAY 353","SUBLETTE","BOULDER","WY","82923-9624","Active","Owned","1355492","W1B322","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Const. by USPS","Land Data on separate record","USPS","No","","1,250","0",""
"8","Colorado/Wyoming","571178-G01","571178","BUFFALO","MAIN OFFICE","193 S MAIN ST","JOHNSON","BUFFALO","WY","82834-9998","Active","Owned","1356277","W1B323","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","5/1/1927","10,310","22,080"," 4/9"
"9","Colorado/Wyoming","571254-G01","571254","BURLINGTON","MAIN OFFICE","211 S MAIN ST","BIG HORN","BURLINGTON","WY","82411-9998","Active","Owned","1356397","W1B325","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","No","6/1/1976","864","6,950"," 1/8"
"10","Colorado/Wyoming","571558-G03","571558","CASPER","MAIN OFFICE/CSNPF","411 N FOREST DR","NATRONA","CASPER","WY","82609-9997","Active","Owned","1357216","W1B334","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","3/1/1995","45,049","340,857"," 1/8"
"11","Colorado/Wyoming","571558-G03","571558","CASPER","MAIN OFFICE/CSNPF","411 N FOREST DR","NATRONA","CASPER","WY","82609-9997","Active","Owned","1441141","W1B333","Mail Processing","Processing and Distribution Center/Facility (PDC/PDF)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","3/1/1995","45,049","340,857"," 1/8"
"12","Colorado/Wyoming","571673-G05","571673","CHEYENNE","P&DC","4800 CONVERSE AVE","LARAMIE","CHEYENNE","WY","82009-9997","Active","Owned","1435358","W1B337","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","5/1/1995","116,338","710,115"," 1/6"
