"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Dakotas","ABERDEEN","LAKEWOOD MALL NPU","460036003","3316 SIXTH AVE. SE ABERDEEN,SD 57401-9998","ABERDEEN","SD","57401-9998","Mar-96","Landlord","3/1/1996","","A","A","None Specified","N","","","MID AMERICA REALTY","INVESTMENTS INC","11506 NICHOLAS # 100","","OMAHA","NE","681544445","87","87","$0.00 ","$0.00 ","$0.00 ","$0.00 "
"5","Dakotas","AGAR","MAIN OFFICE SITE","460072002","206 ASH ST","AGAR","SD","57520-9998","","USPS","6/1/2014","5/31/2019","Q","Z","None Specified","","","","TED ASMUSSEN","PO BOX 127","","","AGAR","SD","575200127","0","7,000","$100.00 ","$0.01 ","$0.00 ","$0.00 "
"6","Dakotas","AKASKA","DETACHED LOCKBOX UNIT","467740002","103 SWAN CREEK RD","AKASKA","SD","57420-2000","Aug-03","Landlord","8/1/2013","7/31/2018","A","A","None Specified","","1","5","LARRY GILLIES","JEAN GILLIES","1519 MARSIE CIRCLE","","ABERDEEN","SD","574014831","268","0","$3,900.00 ","$14.55 ","$4,500.00 ","$16.79 "
"7","Dakotas","ALCESTER","MAIN OFFICE","460126002","111 DAKOTA ST","ALCESTER","SD","57001-9998","Apr-91","USPS (Not Roof)","6/1/2006","5/31/2016","A","A","Reimbursable","","","","RICHARD DOOM","JANET DOOM","PO BOX 1046","","MARSHALL","MN","562580846","1,682","17,500","$21,000.00 ","$12.49 ","$19,500.00 ","$11.59 "
"8","Dakotas","ALEXANDRIA","MAIN OFFICE","460144003","501 MAIN ST","ALEXANDRIA","SD","57311-9998","Jan-75","Landlord","1/1/2015","12/31/2019","A","A","Reimbursable","","1","5","ALLEN TUSCHEN","AND MARSHA TUSCHEN","42575 252ND ST","","ALEXANDRIA","SD","573117609","1,404","8,424","$9,986.00 ","$7.11 ","$10,485.00 ","$7.47 "
"9","Dakotas","ALLEN","MAIN OFFICE","460162002","1 MAIN ST","ALLEN","SD","57714-9998","Nov-82","Landlord","10/1/1982","","A","A","None Specified","N","","","OGLALA LAKOTA COLLEGE","PASS CREEK COLLEGE CENTER","PO BOX 630","","ALLEN","SD","577140630","552","552","$3,000.00 ","$5.43 ","$0.00 ","$0.00 "
"10","Dakotas","ALPENA","MAIN OFFICE SITE","460180002","818 MAIN STREET","ALPENA","SD","57312-9998","","Landlord","9/20/2014","9/19/2019","Q","Z","None Specified","","","","ALPENA COMMERCIAL CLUB","PO BOX 75","","","ALPENA","SD","573120075","0","14,000","$1,600.00 ","$0.11 ","$0.00 ","$0.00 "
