"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Northern New England","ALBANY","MAIN OFFICE","500056002","803 MAIN ST","ALBANY","VT","05820-9998","Dec-77","Landlord","6/1/2015","5/31/2020","P","P","None Specified","","1","5","DAVID C ROWELL","42 WHETSTONE BROOK RD","","","CRAFTSBURY","VT","58269508","319","4,016","$8,400.00 ","$26.33 ","$9,240.00 ","$28.97 "
"5","Northern New England","ALBURGH","MAIN OFFICE","500084001","12 S MAIN ST","ALBURGH","VT","05440-9998","Dec-60","USPS (Not Roof)","12/1/2013","11/30/2018","B","B","Reimbursable","N","","","JOHN W DEGRAAF","&/OR ELISABETH H DEGRAAF","602 BOTSFORD RD","","FERRISBURG","VT","54569761","1,683","20,468","$21,400.00 ","$12.72 ","$0.00 ","$0.00 "
"6","Northern New England","ARLINGTON","MAIN OFFICE","500112002","3575 VT ROUTE 7A","ARLINGTON","VT","05250-9998","Feb-00","Shared","2/16/2000","2/15/2025","P","P","Reimbursable","","5","25","THE KEELAN CO","PO BOX 369","","","SHELBURNE","VT","54820369","4,335","76,140","$104,000.00 ","$23.99 ","$90,000.00 ","$20.76 "
"7","Northern New England","ASCUTNEY","MAIN OFFICE","500140002","5159 ROUTE 5","ASCUTNEY","VT","05030-9998","Nov-01","USPS","12/1/2002","11/30/2022","P","P","Reimbursable","Y","5","25","ASCUTNEY ENTERPRISES","LOT 2 LLC","462 HEGEMAN AVE STE 206","","COLCHESTER","VT","54463187","3,300","52,200","$92,000.00 ","$27.88 ","$99,000.00 ","$30.00 "
"8","Northern New England","BAKERSFIELD","MAIN OFFICE","500196001","65 MAIN ST N","BAKERSFIELD","VT","05441-9998","Feb-55","Landlord","11/1/2013","10/31/2018","A","A","None Specified","N","","","MARK O'NEILL LLC","1071 E BAKERSFIELD RD","","","BAKERSFIELD","VT","54419755","494","1,194","$8,700.00 ","$17.61 ","$0.00 ","$0.00 "
"9","Northern New England","BARNARD","MAIN OFFICE","500224002","6430 STAGE RD UNIT 1","BARNARD","VT","05031-9998","Jun-75","Landlord","6/1/2012","","B","B","None Specified","","","","TWIN FARMS LLC","PO BOX 115","","","BARNARD","VT","50310115","416","3,492","$7,100.00 ","$17.07 ","$0.00 ","$0.00 "
"10","Northern New England","BARNET","MAIN OFFICE","500252001","30 MONUMENT CIR","BARNET","VT","05821-9998","Feb-55","Landlord","1/1/2015","12/31/2017","B","B","Reimbursable","","1","3","WILLIAM P VERMEULEN TRUST","34 HARVEY ST","","","ST JOHNSBURY","VT","58191067","416","1,668","$11,707.00 ","$28.14 ","$12,146.00 ","$29.20 "
