"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Portland","AMBOY","MAIN OFFICE","540336002","21501 NE 399TH ST","AMBOY","WA","98601-3332","May-02","USPS (Not Roof)","5/22/2002","5/21/2022","P","P","Percentage","Y","2","10","TSUGAWA FAMILY TRUST","JAMES AND AMY TSUGAWA TRSTEES","13480 NW BURTON ST","","PORTLAND","OR","972294551","4,546","62,323","$80,850.00 ","$17.78 ","$95,000.00 ","$20.90 "
"5","Portland","APPLETON","MAIN OFFICE","540392002","448 APPLETON RD","APPLETON","WA","98602-9798","Sep-83","Landlord","9/1/2011","8/31/2016","P","P","None Specified","","1","5","DARIN H PLUTCHOK","& JENNIFER C LAGURA","PO BOX 15","","APPLETON","WA","986020015","230","670","$2,460.00 ","$10.70 ","$2,820.00 ","$12.26 "
"6","Portland","ARIEL","MAIN OFFICE","540420001","5712 LEWIS RIVER RD","ARIEL","WA","98603-9754","Jul-73","Landlord","7/1/2011","6/30/2016","A","A","None Specified","","","","SHIRLEY A FINDLAY TTEE","SHIRLEY A FINDLAY REV TRUST","1087 LEWIS RIVER RD #224","","WOODLAND","WA","986749689","846","2,246","$7,800.00 ","$9.22 ","$8,460.00 ","$10.00 "
"7","Portland","BINGEN","MAIN OFFICE","540700002","302 W STEUBEN ST","BINGEN","WA","98605-9006","May-67","Landlord","5/1/2011","4/30/2021","P","P","None Specified","N","","","BINGEN PO RENTALS LLC","PO BOX 124","","","WHITE SALMON","WA","986720124","1,331","1,655","$11,550.00 ","$8.68 ","$0.00 ","$0.00 "
"8","Portland","BRUSH PRAIRIE","MAIN OFFICE","540938002","12012 NE 150TH CIR","BRUSH PRAIRIE","WA","98606-9597","Apr-87","USPS (Not Roof)","4/1/2007","3/31/2017","A","A","Reimbursable","","","","KAREN LANG","16717 NE 40TH AVE","","","VANCOUVER","WA","986861805","3,289","33,648","$41,356.00 ","$12.57 ","$0.00 ","$0.00 "
"9","Portland","CAMAS","CARRIER ANNEX","541092001","2455 SE 8TH AVE","CAMAS","WA","98607-2298","Oct-99","USPS (Not Roof)","10/28/1999","10/27/2019","A","A","Reimbursable","Y","2","10","ACE INVESTMENTS LLC","PO BOX 6366","","","BURBANK","CA","915106366","8,547","126,394","$149,990.00 ","$17.55 ","$154,900.00 ","$18.12 "
"10","Portland","CARROLLS","MAIN OFFICE","541176001","3803 OLD PACIFIC HWY S","CARROLLS","WA","98609-9598","Jul-63","Landlord","1/1/2014","12/31/2018","P","P","None Specified","","1","5","DOUGLAS W ROWE","SHIRLEY A ROWE","PO BOX 79","","CARROLLS","WA","986090079","131","1,200","$2,640.00 ","$20.15 ","$2,820.00 ","$21.53 "
