"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Colorado/Wyoming","AFTON","MAIN OFFICE","570114003","31 W 4TH AVE","AFTON","WY","83110-9800","Dec-86","USPS","12/19/2011","12/18/2016","A","A","Reimbursable","","1","5","AFTON P S PARTNERSHIP","1835 FAITH PL","","","LONGMONT","CO","805014716","3,808","31,152","$47,723.00 ","$12.53 ","$52,690.00 ","$13.84 "
"5","Colorado/Wyoming","ALBIN","MAIN OFFICE","570266001","221 CHEYENNE AVE","ALBIN","WY","82050-9901","Dec-63","Landlord","1/1/2012","12/31/2016","P","P","None Specified","","1","5","HUTTON INVESTMENTS LLC","114 PONDEROSA TRL","","","CHEYENNE","WY","820091624","825","6,600","$6,060.00 ","$7.35 ","$6,840.00 ","$8.29 "
"6","Colorado/Wyoming","ALCOVA","MAIN OFFICE","570304002","22495 STATE HIGHWAY 220","ALCOVA","WY","82620-9800","Jan-68","Landlord","7/1/2015","6/30/2020","P","P","None Specified","","","","MERLIN G RODGERS AND","JEANNE RENEE RODGERS","PO BOX 153","","ALCOVA","WY","826200153","786","9,731","$7,270.00 ","$9.25 ","$0.00 ","$0.00 "
"7","Colorado/Wyoming","ALVA","MAIN OFFICE","570342001","2510 STATE HIGHWAY 24","ALVA","WY","82711-9901","Mar-78","Landlord","11/1/2015","10/31/2020","P","P","None Specified","","","","ANN GRAY","PO BOX 7356","","","ALVA","WY","827110156","215","215","$4,800.00 ","$22.33 ","$0.00 ","$0.00 "
"8","Colorado/Wyoming","ARVADA","MAIN OFFICE SITE","570456002","25 ATOKA ST","ARVADA","WY","82831-9998","","Landlord","10/1/2013","9/30/2018","Q","P","None Specified","","1","5","BETTYE H MCDERMOTT","3517 E PICO AVE","","","FRESNO","CA","937261624","0","7,000","$2,100.00 ","$0.30 ","$2,100.00 ","$0.30 "
"9","Colorado/Wyoming","AUBURN","MAIN OFFICE","570532001","449 1ST WEST ST","AUBURN","WY","83111-9901","Jul-84","USPS","7/20/2014","7/19/2019","B","B","Reimbursable","","","","WENDY JOY HURD","AND PATRICIA KAY BASSETT","PO BOX 156","","AUBURN","WY","831110156","480","11,700","$3,234.00 ","$6.74 ","$0.00 ","$0.00 "
"10","Colorado/Wyoming","BAGGS","MAIN OFFICE SITE","570608002","55 N PENLAND ST","BAGGS","WY","82321-9900","","Landlord","5/1/2015","4/30/2020","Q","Z","None Specified","","","","JERRY L WILSON","DOROTHY L WILSON","702 COMSTOCK DR","","FRUITA","CO","815212496","0","7,200","$2,300.00 ","$0.32 ","$0.00 ","$0.00 "
