"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Alabama","ABBEVILLE","MAIN OFFICE","10020001","110 E WASHINGTON ST","ABBEVILLE","AL","36310-2134","May-75","USPS","5/1/2015","4/30/2020","A","A","Reimbursable","","1","5","PAUL P LANGFORD","PO BOX 334","","","SHELLMAN","GA","398860334","2,784","18,022","$21,360.00 ","$7.67 ","$22,428.00 ","$8.06 "
"5","Alabama","ABERNANT","MAIN OFFICE","10030002","13525 JOHNS RD","ABERNANT","AL","35440-2000","Mar-92","USPS (Not Roof)","3/18/2012","3/17/2017","A","A","Reimbursable","N","1","5","RONALD E ROWLETT","CHERYL A ROWLETT","1715 CHIPPENHAM DR","","HIXSON","TN","373437519","930","17,853","$12,654.00 ","$13.61 ","$22,813.00 ","$24.53 "
"6","Alabama","ADAMSVILLE","MAIN OFFICE","10050001","3609 GRAY AVE","ADAMSVILLE","AL","35005-2238","Sep-70","Landlord","9/1/2014","8/31/2019","A","A","None Specified","","","","GERALD A LEVIN","1042 N 1200 E","","","SHERIDAN","IN","460698731","3,254","18,197","$35,500.00 ","$10.91 ","$0.00 ","$0.00 "
"7","Alabama","ADDISON","MAIN OFFICE","10060002","30696 HIGHWAY 278","ADDISON","AL","35540-2240","Jul-86","USPS (Not Roof)","7/1/2012","6/30/2017","A","A","None Specified","N","","","CLARA MAE PORTER","820 SARDIS - AIRPORT ROAD","","","ADDISON","AL","355402438","1,832","32,452","$19,000.00 ","$10.37 ","$16,488.00 ","$9.00 "
"8","Alabama","ADGER","MAIN OFFICE","10070001","7313 JOHNS RD","ADGER","AL","35006-1409","Aug-75","USPS (Not Roof)","8/1/2010","7/31/2020","A","A","Reimbursable","","","","GENERATIONAL INVESTMENTS LLC","123 GROVE AVE STE 222","","","CEDARHURST","NY","115162302","1,400","14,137","$12,600.00 ","$9.00 ","$0.00 ","$0.00 "
"9","Alabama","AKRON","MAIN OFFICE","10090001","197 1ST AVE S","AKRON","AL","35441-1935","Sep-60","USPS","9/1/2011","8/31/2016","A","A","","","1","5","SHEILA WILLIAMS","PO BOX 143","","","LAKE GEORGE","CO","808270143","800","5,812","$5,535.00 ","$6.92 ","$6,226.00 ","$7.78 "
"10","Alabama","ALABASTER","MAIN OFFICE","10105003","50 KENT STONE WAY","ALABASTER","AL","35007-5305","Jan-00","USPS (Not Roof)","1/27/2000","1/26/2020","P","P","Reimbursable","Y","2","10","VESTAVIA VILLAGE LLC","C/O ROBERT C BARNETT MGR","2107 5TH AVE N STE 100","","BIRMINGHAM","AL","352033338","13,428","152,331","$218,952.15 ","$16.31 ","$259,954.92 ","$19.36 "
