"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Colorado/Wyoming","AGATE","MAIN OFFICE","70036001","40992 US HIGHWAY 40","AGATE","CO","80101-9755","Sep-57","USPS (Not Roof)","7/1/2011","6/30/2016","B","B","Reimbursable","N","","","HARRIMACK, LLC","8342 MACON RD","","","CORDOVA","TN","380188554","1,203","1,203","$7,000.00 ","$5.82 ","$0.00 ","$0.00 "
"5","Colorado/Wyoming","AGUILAR","MAIN OFFICE","70054001","106 E MAIN ST","AGUILAR","CO","81020-9900","Sep-61","Landlord","9/1/2011","8/31/2016","B","B","None Specified","","","","RINGO STORES INC","PO BOX 598","","","AGUILAR","CO","810200598","1,080","7,000","$6,480.00 ","$6.00 ","$6,850.00 ","$6.34 "
"6","Colorado/Wyoming","AKRON","MAIN OFFICE","70072001","182 ADAMS AVE","AKRON","CO","80720-9998","Sep-63","USPS (Not Roof)","9/1/2013","8/31/2018","P","P","Reimbursable","","1","5","THE DANSDILL FAMILY TRUST","ANNE GRAY TRUSTEE","J E AND R B DANSDILL TTEES","17503 PLAZA MARLENA","SAN DIEGO","CA","921281807","4,800","12,260","$20,700.00 ","$4.31 ","$22,356.00 ","$4.66 "
"7","Colorado/Wyoming","ALLENSPARK","MAIN OFFICE","70108001","7 WASHINGTON ST","ALLENSPARK","CO","80510-9997","Jul-65","Landlord","7/1/2011","6/30/2016","P","P","Reimbursable","N","","","THE ALLENSPARK COMM CHURCH","P O BOX 45","","","ALLENSPARK","CO","805100045","924","7,500","$9,564.00 ","$10.35 ","$11,328.00 ","$12.26 "
"8","Colorado/Wyoming","ALMA","MAIN OFFICE SITE","70144003","30 E BUCKSKIN ST","ALMA","CO","80420-9998","","USPS","6/1/2000","5/31/2020","Q","Z","Reimbursable","","","","MARJORIE N BURTON","JACQUELINE E LEAF","JOHN BURTON III & JOE BURTON","PO BOX 140","ALMA","CO","804200140","0","18,993","$9,600.00 ","$0.51 ","$0.00 ","$0.00 "
"9","Colorado/Wyoming","ALMONT","MAIN OFFICE SITE","70162004","TAYLOR RIVER ROAD","ALMONT","CO","81210-9998","","Federal Agency","1/1/2006","12/1/2035","Q","O","None Specified","N","","","INTERNAL REVENUE SERVICE","USDA FOREST SERVICE","216 N COLORADO ST","","GUNNISON","CO","812302162","0","0","$0.00 ","$0.00 ","$0.00 ","$0.00 "
"10","Colorado/Wyoming","AMHERST","MAIN OFFICE SITE","70180003","520 MAIN AVENUE","AMHERST","CO","80721-9998","","USPS","6/1/2013","5/31/2018","Q","Z","None Specified","","","","GLORIA L COLLINS","1036 BRIARWOOD RD","","","FT COLLINS","CO","805214203","0","4,500","$960.00 ","$0.21 ","$0.00 ","$0.00 "
