"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Baltimore","ADAMSTOWN","MAIN OFFICE","230126002","5537 MOUNTVILLE RD","ADAMSTOWN","MD","21710-9998","Jun-78","Landlord","6/1/2013","5/31/2018","P","P","None Specified","","2","10","GEORGE T HORMAN","5109 CAP STINE RD","","","FREDERICK","MD","217037403","924","1,869","$11,088.00 ","$12.00 ","$11,420.64 ","$12.36 "
"5","Baltimore","ADAMSTOWN","MAIN OFFICE ADDL PKG","230126003","MOUNT VALE ROAD","ADAMSTOWN","MD","21710-9998","","Landlord","4/1/1997","","X","D","None Specified","","","","CSX TRANSPORTATION","C/O PROPERTY SERVICES","500 WATER STREET J-180","","JACKSONVILLE","FL","322024423","0","6,339","$640.00 ","$0.10 ","$0.00 ","$0.00 "
"6","Baltimore","ALLEN","RMPO","230180002","3519 ALLEN RD","ALLEN","MD","21810-9998","Jul-78","Landlord","7/1/2014","6/30/2017","P","P","None Specified","","","","AGNES E CULP","PO BOX 103","","","ALLEN","MD","218100103","600","1,160","$6,060.00 ","$10.10 ","$0.00 ","$0.00 "
"7","Baltimore","ANNAPOLIS","LEGION AVENUE STATION","230216005","210 LEGION AVE","ANNAPOLIS","MD","21401-9996","Feb-68","USPS","10/1/2013","9/30/2018","C","C","None Specified","","","","RONALD E COUNCIL","LEGION PROPERTIES LLC","A MD LIMITED LIABILITY CO","125 WEST ST - 4TH FL","ANNAPOLIS","MD","214042289","7,261","20,149","$110,710.00 ","$15.25 ","$0.00 ","$0.00 "
"8","Baltimore","ANNAPOLIS","MAIN OFFICE","230216900","1 CHURCH CIRCLE","ANNAPOLIS","MD","21401-9998","","USPS","12/30/2013","8/29/2015","A","A","None Specified","","1","","STATE OF MARYLAND","LEASE MGT. AND PROCUREMENT","OFFICE OF REAL ESTATE - DGS","300 WEST PRESTON ST., ROOM 601","BALTIMORE","MD","212012308","4,599","33,516","$84,000.00 ","$18.26 ","$0.00 ","$0.00 "
"9","Baltimore","ANNAPOLIS","MAIN OFFICE RETAIL","230216006","60 WEST ST STE 101","ANNAPOLIS","MD","21401-9998","","USPS","11/1/2014","1/31/2025","P","P","Percentage","","2","10","ANNAPOLIS WEST LIMITED PARTNERSHIP","C/O LOUGHLIN MGMT GROUP, INC","60 WEST STREET SUITE 204","","ANNAPOLIS","MD","214012480","2,778","21,634","$0.00 ","$0.00 ","$0.00 ","$0.00 "
"10","Baltimore","ARNOLD","MAIN OFFICE","230288001","1521 RITCHIE HWY STE 100","ARNOLD","MD","21012-9998","Mar-75","Landlord","6/1/2012","5/31/2017","P","P","","","","","ANNE ARUNDEL CO ASSN OF REALTORS INC","1521 RITCHIE HWY STE 300","","","ARNOLD","MD","210122702","7,000","35,250","$175,000.00 ","$25.00 ","$0.00 ","$0.00 "
