"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Detroit","ADDISON","MAIN OFFICE","250020001","103 S TALBOT ST","ADDISON","MI","49220-9998","Jul-67","Landlord","7/1/2012","6/30/2017","A","A","Percentage","","1","5","KEYBANK NATIONAL ASSOCIATION","ATTN: ASSET MANAGER","PO BOX 94839","","CLEVELAND","OH","441014839","1,457","29,782","$14,570.00 ","$10.00 ","$15,663.00 ","$10.75 "
"5","Detroit","ALGONAC","MAIN OFFICE","250130002","801 SAINT CLAIR RIVER DR","ALGONAC","MI","48001-9998","Jan-76","Landlord","4/1/2016","3/31/2021","A","A","Reimbursable","","1","5","W JOHN SCHMID","OR MARGARET M SCHMID","4320 HORTON RD","","JACKSON","MI","492019725","3,357","20,000","$40,720.00 ","$12.13 ","$44,792.00 ","$13.34 "
"6","Detroit","ALLEN","MAIN OFFICE","250150001","200 E CHICAGO RD","ALLEN","MI","49227-9998","Jul-57","Landlord","10/1/2011","9/30/2016","A","A","Percentage","","","","ALAN MCCLELLAN","830 RAWSON RD","","","COLDWATER","MI","490369416","600","1,720","$4,800.00 ","$8.00 ","$5,280.00 ","$8.80 "
"7","Detroit","ALLEN PARK","ADDITIONAL PARKING","250158004","16146 Ecorse Road","ALLEN PARK","MI","48101-9998","","USPS","3/1/2015","2/29/2020","X","Z","None Specified","","","","TRI-STAR CONSTRUCTION","16146 ECORSE RD","","","ALLEN PARK","MI","481012015","0","15,000","$23,400.00 ","$1.56 ","$0.00 ","$0.00 "
"8","Detroit","ALLEN PARK","ADDITIONAL PARKING-BANK","250158006","6840 ROOSEVELT ROAD","ALLEN PARK","MI","48101-9998","","Landlord","5/1/2007","4/30/2017","X","Z","Reimbursable","","2","10","LINWOOD REALTY INC","6761 E KNOLLWOOD","","","WEST BLOOMFIELD","MI","483223950","0","24,830","$66,000.00 ","$2.66 ","$0.00 ","$0.00 "
"9","Detroit","ALLEN PARK","MAIN OFFICE","250158001","6800 ROOSEVELT AVE","ALLEN PARK","MI","48101-9998","Mar-61","USPS","3/13/2008","3/12/2018","A","A","Reimbursable","","","","ALLEN PARK-ROOSEVELT CO","6761 E KNOLLWOOD","","","WEST BLOOMFIELD","MI","483223950","10,715","26,784","$115,570.00 ","$10.79 ","$0.00 ","$0.00 "
"10","Detroit","ALLENTON","MAIN OFFICE","250160001","770 CAPAC RD","ALLENTON","MI","48002-9998","Sep-60","Landlord","9/1/2015","8/31/2020","A","A","Reimbursable","","1","5","DENNIS R PETERS","73357 VAN DYKE RD","","","BRUCE TWP","MI","480653219","920","2,390","$8,275.00 ","$8.99 ","$9,103.00 ","$9.89 "
