"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Greensboro","ADVANCE","MAIN OFFICE","360064001","1860 NC HIGHWAY 801 S","ADVANCE","NC","27006-9998","Dec-68","Landlord","2/1/2014","1/31/2019","P","P","None Specified","","","","S & G INVESTMENTS INC","TOM ARMSTRONG, PRESIDENT","7305 AUTUMN LAKE DR","","SUMMERFIELD","NC","273589186","3,528","5,714","$29,106.00 ","$8.25 ","$0.00 ","$0.00 "
"5","Greensboro","ALAMANCE","MAIN OFFICE","360080002","4205 S NC HIGHWAY 62","ALAMANCE","NC","27201-9800","Oct-88","USPS (Not Roof)","10/1/2013","9/30/2018","P","P","Reimbursable","N","","","ALAMANCE USPO LLC","6106 MACARTHUR BLVD","","","BETHESDA","MD","208163204","1,832","20,790","$23,740.00 ","$12.96 ","$0.00 ","$0.00 "
"6","Greensboro","ALTAMAHAW","MAIN OFFICE","360160001","3788 ALTMAHAW CHURCH ST","ALTAMAHAW","NC","27202-9800","Apr-59","Landlord","4/1/2015","3/31/2020","P","P","None Specified","","1","5","GLEN RAVEN INC","1831 N PARK AVE","","","GLEN RAVEN","NC","272171100","1,274","2,813","$8,412.00 ","$6.60 ","$9,252.00 ","$7.26 "
"7","Greensboro","ANGIER","MAIN OFFICE","360192002","31 W DUPREE ST","ANGIER","NC","27501-9998","May-99","USPS (Not Roof)","5/1/1999","4/30/2019","P","P","Reimbursable","Y","4","20","DAVID E BARRETT & SANDRA K BARRETT","REVOCABLE TRUST DAVID E BARRETT &","SANDRA K BARRETT TRUSTEES","PO BOX 1185","ALTO","NM","883121185","6,600","155,509","$105,500.00 ","$15.98 ","$105,500.00 ","$15.98 "
"8","Greensboro","ARARAT","MAIN OFFICE","360240001","1354 ARARAT RD","ARARAT","NC","27007-9998","Dec-66","Landlord","12/1/2015","11/30/2020","P","P","None Specified","","1","5","JEFFREY DEAN POINDEXTER","DEANN CHILTON POINDEXTER","3392 NC 268","","SILOAM","NC","270479237","453","2,453","$4,320.00 ","$9.54 ","$4,560.00 ","$10.07 "
"9","Greensboro","AULANDER","MAIN OFFICE","360360001","107 W MAIN ST","AULANDER","NC","27805-9998","Jun-61","Landlord","6/1/2011","5/31/2021","P","P","Reimbursable","","1","5","NEWCO POSTAL LLC","9364 SONORA AVE","","","ST LOUIS","MO","631441010","2,307","13,261","$12,000.00 ","$5.20 ","$13,200.00 ","$5.72 "
"10","Greensboro","AURORA","MAIN OFFICE","360368002","186 N 5TH ST","AURORA","NC","27806-9998","Apr-79","Landlord","4/1/2014","3/31/2019","B","B","Reimbursable","","","","JAMES C MOORE","AND JOAN B MOORE","DBA CLEAR RUN SELF STORAGE","PO BOX 25","HARRELLS","NC","284440025","1,856","21,543","$16,100.00 ","$8.67 ","$0.00 ","$0.00 "
