"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Ft Worth","ADAMS","MPO SITE/MODULAR BLDG","390055003","MAIN & FIRST","ADAMS","OK","73901-9998","","USPS","2/1/2012","1/31/2017","X","Z","None Specified","","1","5","GILBERT R MIRES","AND CORICE MIRES","PO BOX 568","","ADAMS","OK","739010568","0","10,500","$1,440.00 ","$0.14 ","$1,600.00 ","$0.15 "
"5","Ft Worth","BALKO","MAIN OFFICE","390506001","1 HIGHWAY 83","BALKO","OK","73931-9500","Apr-64","USPS","4/1/2014","3/31/2019","A","A","Reimbursable","","1","5","LAWRENCE M MAGDOVITZ","PO BOX 997","","","CLARKSDALE","MS","386140997","1,624","5,624","$13,400.00 ","$8.25 ","$14,300.00 ","$8.81 "
"6","Ft Worth","BEAVER","MAIN OFFICE","390583001","16 E 2ND ST","BEAVER","OK","73932-9804","Oct-62","Landlord","10/1/2007","9/30/2017","A","A","Reimbursable","","","","LAWRENCE M MAGDOVITZ","AND ROBERT H CARTER","P O BOX 997","","CLARKSDALE","MS","386140997","4,467","10,923","$24,600.00 ","$5.51 ","$0.00 ","$0.00 "
"7","Ft Worth","BOISE CITY","MAIN OFFICE","390891002","210 N CIMARRON","BOISE CITY","OK","73933-9800","Feb-91","USPS (Not Roof)","2/1/2016","1/31/2021","A","A","None Specified","N","","","MALOY PROPERTIES LLC","928 GLENLAKE DRIVE","","","EDMOND","OK","730131812","2,320","15,525","$17,459.00 ","$7.53 ","$0.00 ","$0.00 "
"8","Ft Worth","FELT","MAIN OFFICE","393047002","101 LINCOLN ST","FELT","OK","73937-9800","Oct-77","Landlord","8/9/2012","8/8/2017","A","A","None Specified","","1","5","HUBERT E WELLS AND","GLENNA F WELLS REVOCABLE","TRUST AGREEMENT","HC 1 BOX 2A","FELT","OK","739379701","495","3,000","$3,156.00 ","$6.38 ","$3,500.00 ","$7.07 "
"9","Ft Worth","FORGAN","MAIN OFFICE","393157001","115 S BROADWAY ST","FORGAN","OK","73938-9800","Apr-75","Landlord","5/1/2015","4/30/2020","A","A","None Specified","","","","GARRETT AND WILSON LLC","PO BOX 475","","","BARTLESVILLE","OK","740050475","1,067","13,300","$8,165.00 ","$7.65 ","$0.00 ","$0.00 "
"10","Ft Worth","GOODWELL","MAIN OFFICE","393465002","105 S MAIN ST","GOODWELL","OK","73939-9800","Oct-92","USPS (Not Roof)","10/30/2012","10/29/2017","A","A","Reimbursable","Y","1","5","C DIAN SILL","14005 N EASTERN AVE","","","EDMOND","OK","730135586","1,856","18,750","$13,720.00 ","$7.39 ","$0.00 ","$0.00 "
